Название кружка;Направление;Поставщик;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Сольфеджио;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Строевая подготовка;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Теория музыки;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Фортепиано;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Хор;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Центр духовой музыки;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Игра на гитаре;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Музыкальное искусство;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Оркестр;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Музыка для всех;Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯАнсамбль гитаристов "Аккорд";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯАнсамбль народных инструментов;Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯМузыкальная литература;Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯМузыкально-хоровая студия;Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯСинтезатор;Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯСпециальность;Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯСпециальность (народные инструменты);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯСпециальность (фортепиано и гитара);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Игра на гитаре;Художественно-эстетическое;НОУ "Средняя общеобразовательная школа - детский сад с этнокультурным еврейским компонентом образования "ОР-Авнер ХаБаД"";г Пермь, ул 25 Октября, 43;212-57-54, 212-77-18;Меркушева Татьяна Леонидовна;;56.255207;58.007646
Инструментальный ансамбль;Художественно-эстетическое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Самодеятельная гитара;Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
АККОРДЕОН;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Аккордеон (спец);Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Ансамбль аккордеонистов;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Ансамбль баянистов;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Ансамбль гитаристов;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
БАЯН;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
баян (спец);Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
ГИТАРА;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Гитара (спец);Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
инв Баян;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
инв Фортепиано;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
СИНТЕЗАТОР;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
синтезатор (спец);Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
ФОРТЕПИАНО;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Фортепиано (спец);Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Духовой оркестр;Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Инструментальный ансамбль;Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Образцовый оркестр народных инструментов "Калинка";Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Искусство кино;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Киноискусство;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
"Мультстудия";Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Видео кружок;Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Multiland;Художественно-эстетическое;Центр дополнительного образования для детей "Луч" г.Перми;г Пермь, ул Елькина, 3;290-29-90;Соломинина Светлана Александровна;http://luchperm.ru/;56.23716;57.99787
Дизайн;Художественно-эстетическое;АНО НОУ ДОД «Буратино»;г Пермь, ул Куйбышева, 107;+7 342 2902579, +7 342 2456711;Нигматуллина Наталия Ольдиаровна;;56.248434;57.985853
Школа моделей;Художественно-эстетическое;АНО НОУ ДОД «Буратино»;г Пермь, ул Куйбышева, 107;+7 342 2902579, +7 342 2456711;Нигматуллина Наталия Ольдиаровна;;56.248434;57.985853
Основы моделирования и дизайна одежды (Тандем);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Основы парикмахерского искусства (Тандем);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Основы стилистики и визажа (Тандем);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Сценическая пластика (Тандем);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Школа моделей "Лик-Стар";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Макияж;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Театр костюма "Этюд";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Театр моды "Ренессанс";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯВизаж (Этюд);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯДизайн (ТМ Модерн);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯИЗО (Этюд);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯКонструирование и моделирование одежды (ТМ Модерн);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯМодельно-конструкторская мастерская (Ренессанс);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯОсновы шитья (Этюд);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯПодиумная пластика (Ренессанс);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯПодиумная пластика (Этюд);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТеатр костюма "Этюд";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТеатр моды "Модерн";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТеатр моды "Ренессанс";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯХореография (ТМ Модерн);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Дизайн-студия "ИМИДЖ-МАСТЕР";Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Студия  моды "А-Элита";Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Курсы домашнего парикмахера "Совершенство";Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Театральная студия;Художественно-эстетическое;Автономная некоммерческая организация «Семейный центр «Бона Менте» (Добрыми намерениями);г Пермь, ул Сысольская, 2;(342) 2576101, 2576376, 89127825222;Перминова Светлана Сергеевна;http://www.bonamente.perm.ru;55.98061;58.016495
Театральная студия;Художественно-эстетическое;АНО НОУ ДОД «Буратино»;г Пермь, ул Куйбышева, 107;+7 342 2902579, +7 342 2456711;Нигматуллина Наталия Ольдиаровна;;56.248434;57.985853
Актерское мастерство (ПРОЗУС-Д);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Актерское мастерство(КОД);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Сценическая речь ("КОД");Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Сценическая речь (Прозус - Д);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
театр исторических миниатюр;Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Театр кукол "Сказочка";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Театр моды "Тандем";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хореография ("КОД");Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Школа КВН;Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Эстрадно-театральный коллектив "Прозус-Д";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Беседы об искусстве;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Искусство театра;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Искусство театра ФГТ 1 класс;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Искусство театра ФГТ 2 класс;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Подготовка сценических номеров;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Ритмика;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Слушание музыки и музыкальная грамота;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Сценическое движение;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Танец;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Уличный театр;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
Художественное слово;Художественно-эстетическое;Детская   школа   театрального   искусства   "Пилигрим";г Пермь, ул Космонавта Леонова, 13а;2260920, 2260405;Корякин Владимир Николаевич;;56.169328;57.975121
